Name,Year Published,Users Rated,Owned Users,Complexity Average,Mechanics
The Great War in Europe,1995.0,143,478.0,3.78,"Dice Rolling, Hexagon Grid, Simulation, Zone of Control"
La Bataille de Corunna-Espagnol,1995.0,109,411.0,3.72,Hexagon Grid
Eagles: Waterloo,1995.0,273,567.0,2.18,"Hand Management, Secret Unit Deployment"
"Glory: The Battles of First & Second Manassas and Chickamauga, 1861-63",1995.0,174,480.0,2.61,"Chit-Pull System, Hexagon Grid, Simulation"
London's Burning,1995.0,444,1125.0,2.55,"Dice Rolling, Events, Grid Movement, Hexagon Grid, Minimap Resolution, Scenario / Mission / Campaign Game, Simulation"
2038: Tycoons of the Asteroid Belt,1995.0,389,803.0,4.04,"Auction/Bidding, Network and Route Building, Pick-up and Deliver, Stock Holding"
El Grande,1995.0,23545,22629.0,3.05,"Action Drafting, Area Majority / Influence, Area Movement, Auction/Bidding, Card Drafting, Hand Management, Memory, Simultaneous Action Selection, Turn Order: Progressive, Turn Order: Stat-Based"
PitchCar,1995.0,9645,10190.0,1.13,"Flicking, Modular Board, Race"
Catan,1995.0,101510,154531.0,2.32,"Dice Rolling, Hexagon Grid, Income, Modular Board, Network and Route Building, Race, Random Production, Trading, Variable Set-up"
Medici,1995.0,7146,7628.0,2.26,"Auction/Bidding, Auction: Once Around, Income, Investment, Multiple-Lot Auction, Push Your Luck, Set Collection, Victory Points as a Resource"
High Society,1995.0,8929,12414.0,1.5,"Auction/Bidding, Auction: Turn Order Until Pass, Constrained Bidding"
Condottiere,1995.0,8609,10998.0,1.96,"Area Majority / Influence, Auction/Bidding, Constrained Bidding, Hand Management"
Warhammer Quest,1995.0,2373,3100.0,2.69,"Cooperative Game, Dice Rolling, Modular Board, Role Playing"
Necromunda,1995.0,1824,2098.0,3.11,"Dice Rolling, Measurement Movement, Modular Board, Role Playing, Secret Unit Deployment, Variable Player Powers"
Rebels & Redcoats: Volume I,1995.0,58,230.0,2.25,Hexagon Grid
1856: Railroading in Upper Canada from 1856,1995.0,1244,1694.0,4.25,"Auction/Bidding, Network and Route Building, Stock Holding, Tile Placement"
Mü & More,1995.0,1836,3002.0,2.49,"Team-Based Game, Trick-taking"
Shadowfist,1995.0,416,628.0,2.56,Hand Management
Middle-earth,1995.0,1863,2969.0,3.69,"Area Movement, Dice Rolling, Hand Management, Variable Player Powers"
The Bottle Imp,1995.0,3275,4707.0,1.87,"Score-and-Reset Game, Trick-taking"
The Great Dalmuti,1995.0,6866,11254.0,1.29,"Hand Management, Ladder Climbing, Trick-taking"
Legend of the Five Rings,1995.0,1628,2213.0,3.29,"Card Drafting, Player Elimination, Set Collection"
Star Wars Customizable Card Game,1995.0,2279,3824.0,3.16,"Area Majority / Influence, Hand Management, Modular Board, Variable Player Powers"
The Great Battles of Alexander: Deluxe Edition,1995.0,671,1841.0,3.62,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Scenario / Mission / Campaign Game, Simulation"
Formula Motor Racing,1995.0,1898,2282.0,1.18,"Dice Rolling, Hand Management, Relative Movement"
Streetcar,1995.0,1480,2244.0,2.06,"Network and Route Building, Tile Placement"
Rat-a-Tat Cat,1995.0,2865,5778.0,1.12,"Card Drafting, Memory, Take That"
